feature,abs_correlation_with_target,removed_as_noisy_engineered
workload_index,0.9738083022577891,False
airport_workload_score,0.9629688006627652,False
total_flights,0.9281935890851487,False
international_flights,0.9213604034530358,False
expected_passengers,0.9145989541058208,False
narrow_body_count,0.8956030460568754,False
scheduled_departures,0.8842931867379183,False
scheduled_arrivals,0.8827672795630406,False
wide_body_count,0.8681692405281555,False
domestic_flights,0.8674425256671016,False
operational_complexity_score,0.8602259734072367,False
gate_occupancy_ratio,0.8591021511240599,False
cargo_tonnage,0.8385109373921986,False
resource_pressure_score,0.8282443345954994,False
domestic_ratio,0.8091168010415964,False
international_ratio,0.8091168010415958,False
equipment_utilization_rate,0.8063280292287032,False
passenger_density,0.7326168281790479,False
occupied_gates,0.6735724493596482,False
delay_minutes,0.6702088883827954,False
mail_tonnage,0.6444892247895047,False
narrow_body_ratio,0.5845396336108701,False
wide_body_ratio,0.5845396336108695,False
equipment_stress_score,0.5610563815538196,False
cargo_per_flight,0.5273772224147772,False
shift_workload_multiplier,0.4929869676696849,False
mail_ratio,0.398080220048218,False
passengers_per_flight,0.2822528293589521,False
staff_shortage_score,0.1964086517424756,False
weather_risk_score,0.18878134826765666,False
weather_severity_index,0.18417632268605746,False
month,0.17892104544111997,False
week_of_year,0.16539543177827026,False
quarter,0.15990855631675285,False
staff_absenteeism_rate,0.15844834612084138,False
visibility_km,0.1564877786010829,False
wind_speed,0.1497890378448256,False
rainfall_mm,0.14763161491120438,False
equipment_breakdown_count,0.1302137298670152,False
dangerous_goods_ratio,0.11374127652227191,True
high_wind_flag,0.11034170726652724,True
heavy_rain_flag,0.09164240236809502,True
dangerous_goods_tonnage,0.09110830332979543,False
low_visibility_flag,0.0887948244747927,True
year,0.07763754242388336,True
day_of_week,0.07319324532245852,True
is_weekend,0.05490829374914665,True
active_gates,0.0023641133275687596,False
